UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_rollmean_5,Air temperature [K]_rollstd_5,Air temperature [K]_rollvar_5,Air temperature [K]_rollmean_10,Air temperature [K]_rollstd_10,Air temperature [K]_rollvar_10,Process temperature [K]_rollmean_5,Process temperature [K]_rollstd_5,Process temperature [K]_rollvar_5,Process temperature [K]_rollmean_10,Process temperature [K]_rollstd_10,Process temperature [K]_rollvar_10,Rotational speed [rpm]_rollmean_5,Rotational speed [rpm]_rollstd_5,Rotational speed [rpm]_rollvar_5,Rotational speed [rpm]_rollmean_10,Rotational speed [rpm]_rollstd_10,Rotational speed [rpm]_rollvar_10,Torque [Nm]_rollmean_5,Torque [Nm]_rollstd_5,Torque [Nm]_rollvar_5,Torque [Nm]_rollmean_10,Torque [Nm]_rollstd_10,Torque [Nm]_rollvar_10,Tool wear [min]_rollmean_5,Tool wear [min]_rollstd_5,Tool wear [min]_rollvar_5,Tool wear [min]_rollmean_10,Tool wear [min]_rollstd_10,Tool wear [min]_rollvar_10,Air temperature [K]_rollmin_5,Air temperature [K]_rollmax_5,Air temperature [K]_rollmin_10,Air temperature [K]_rollmax_10,Process temperature [K]_rollmin_5,Process temperature [K]_rollmax_5,Process temperature [K]_rollmin_10,Process temperature [K]_rollmax_10,Rotational speed [rpm]_rollmin_5,Rotational speed [rpm]_rollmax_5,Rotational speed [rpm]_rollmin_10,Rotational speed [rpm]_rollmax_10,Torque [Nm]_rollmin_5,Torque [Nm]_rollmax_5,Torque [Nm]_rollmin_10,Torque [Nm]_rollmax_10,Tool wear [min]_rollmin_5,Tool wear [min]_rollmax_5,Tool wear [min]_rollmin_10,Tool wear [min]_rollmax_10
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,298.28000000000003,0.1788854381999675,0.031999999999994394,298.22,0.13984117975601654,0.01955555555555453,308.76,0.18165902124592503,0.033000000000027445,308.69,0.15238839267550974,0.023222222222225353,1655.0,111.20026978384541,12365.500000000002,1544.7,140.10000396542162,19628.01111111115,32.62,8.16468003047273,66.66200000000018,38.019999999999996,8.377721779948432,70.18622222222233,18.6,3.974921382870358,15.799999999999997,12.8,6.988880056521535,48.84444444444445,298.1,298.5,298.1,298.5,308.6,309.0,308.5,309.0,1527.0,1782.0,1408.0,1782.0,23.9,42.4,23.9,49.4,14.0,24.0,3.0,24.0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,298.38,0.19235384061674488,0.037000000000012086,298.26,0.1837873166945515,0.033777777777783374,308.86,0.20736441353340643,0.04300000000005359,308.72999999999996,0.20027758514402857,0.040111111111123615,1628.0,150.1932089010685,22558.0,1546.2,138.5454598478221,19194.844444444483,33.0,8.756426211645945,76.67500000000015,37.82,8.179622376505062,66.90622222222233,21.6,5.128352561983233,26.29999999999999,15.4,7.734482673212361,59.82222222222223,298.1,298.6,298.1,298.6,308.6,309.1,308.5,309.1,1423.0,1782.0,1408.0,1782.0,23.9,44.3,23.9,49.4,16.0,29.0,5.0,29.0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,298.48,0.13038404810417126,0.017000000000030845,298.31,0.20248456731320144,0.04100000000001441,308.96,0.16733200530707992,0.028000000000088624,308.79,0.2131770260709857,0.045444444444469725,1590.4,197.78978740066435,39120.8,1530.3,153.0555817705161,23426.011111111147,35.17999999999999,11.818502443203203,139.67700000000008,37.989999999999995,8.459898869897264,71.56988888888901,25.2,6.379655163094632,40.69999999999999,18.3,8.769264507357503,76.90000000000002,298.3,298.6,298.1,298.6,308.7,309.1,308.6,309.1,1339.0,1782.0,1339.0,1782.0,23.9,51.1,23.9,51.1,18.0,34.0,7.0,34.0
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,298.54,0.08944271910019834,0.008000000000036984,298.35,0.2173067468401398,0.047222222222244606,309.06,0.11401754251042022,0.013000000000115483,308.85,0.23687784005927653,0.05611111111114819,1605.4,207.64946424202495,43118.3,1561.2,162.15068437858804,26292.84444444448,35.46,11.638857332229831,135.46300000000008,37.04,8.798131114680618,77.40711111111123,29.0,6.670832032063166,44.499999999999986,21.3,9.569047322835575,91.56666666666669,298.4,298.6,298.1,298.6,308.9,309.2,308.6,309.2,1339.0,1782.0,1339.0,1782.0,23.9,51.1,23.9,51.1,21.0,37.0,9.0,37.0
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,298.56000000000006,0.08944271910021263,0.008000000000039541,298.39,0.22335820757008182,0.04988888888891975,309.1,0.12247448713966831,0.015000000000124778,308.9,0.2538591035288872,0.06444444444449027,1664.2,283.4408227478886,80338.70000000001,1623.9,210.3803169922933,44259.877777777816,33.78,13.450167285205048,180.90700000000012,35.0,10.276402310363514,105.60444444444455,32.8,6.379655163094632,40.69999999999999,24.4,10.145606602531629,102.93333333333337,298.4,298.6,298.1,298.6,308.9,309.2,308.6,309.2,1339.0,2035.0,1339.0,2035.0,19.6,51.1,19.6,51.1,24.0,40.0,11.0,40.0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,298.6,0.0,0.0,298.44,0.20655911179782582,0.04266666666670671,309.16,0.054772255751766724,0.003000000000136943,308.96,0.24585451886126286,0.06044444444450306,1616.2,278.78791222002434,77722.70000000001,1635.6,201.14019433663134,40457.37777777782,38.67999999999999,13.413687039736686,179.92699999999994,35.65,10.94514098178325,119.7961111111112,36.4,5.128352561983234,26.299999999999997,27.5,10.330644811541159,106.72222222222227,298.6,298.6,298.1,298.6,309.1,309.2,308.6,309.2,1339.0,2035.0,1339.0,2035.0,19.6,51.1,19.6,51.1,29.0,42.0,14.0,42.0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,298.6,0.0,0.0,298.49,0.17288403306534178,0.02988888888893819,309.17999999999995,0.04472135955158295,0.0020000000001419594,309.02,0.22010098692308874,0.04844444444451768,1593.8,301.7460853101495,91050.70000000001,1610.9,225.42771691953854,50817.6555555556,39.14,13.691165034430048,187.44799999999992,36.07,11.30752453506563,127.86011111111121,39.4,3.9749213828703582,15.800000000000002,30.5,10.33064481154116,106.7222222222223,298.6,298.6,298.1,298.6,309.1,309.2,308.6,309.2,1311.0,2035.0,1311.0,2035.0,19.6,51.1,19.6,51.1,34.0,44.0,16.0,44.0
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,298.62,0.044721359550515406,0.0020000000000464755,298.55000000000007,0.11785113019799526,0.01388888888894483,309.2,0.0,0.0,309.08000000000004,0.16865480854259585,0.028444444444539665,1608.0,288.12063445716626,83013.50000000001,1599.2,233.16937096358862,54367.95555555561,38.040000000000006,12.67312116252346,160.60799999999998,36.61,11.650412486736734,135.7321111111112,42.0,3.8078865529319548,14.500000000000005,33.6,10.145606602531632,102.93333333333345,298.6,298.7,298.3,298.7,309.2,309.2,308.7,309.2,1311.0,2035.0,1311.0,2035.0,19.6,48.4,19.6,51.1,37.0,47.0,18.0,47.0
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,298.66,0.08944271910028015,0.008000000000051619,298.6,0.10540925533923995,0.011111111111173086,309.2,0.0,0.0,309.13,0.10593499054767433,0.01122222222233585,1520.8,303.0193063156208,91820.70000000001,1563.1,248.9196434371722,61960.98888888894,42.94,13.496962621271491,182.1679999999998,39.2,12.51843085658547,156.7111111111112,44.6,3.9749213828703582,15.800000000000002,36.8,9.715966241192904,94.40000000000015,298.6,298.8,298.4,298.8,309.2,309.2,308.9,309.2,1306.0,2035.0,1306.0,2035.0,19.6,54.5,19.6,54.5,40.0,50.0,21.0,50.0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,298.72,0.13038404810426416,0.017000000000055072,298.64,0.13498971154234193,0.018222222222284683,309.21999999999997,0.04472135955173866,0.002000000000155886,309.16,0.10749676997789263,0.011555555555679959,1440.2,143.84436033435583,20691.199999999997,1552.2,242.56948603555975,58839.955555555614,45.519999999999996,8.056488068631378,64.90699999999975,39.65,12.146444381427479,147.53611111111118,47.6,5.128352561983234,26.299999999999997,40.2,9.51957048517539,90.6222222222224,298.6,298.9,298.4,298.9,309.2,309.3,308.9,309.3,1306.0,1632.0,1306.0,2035.0,32.5,54.5,19.6,54.5,42.0,55.0,24.0,55.0
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,298.78000000000003,0.13038404810428542,0.017000000000060612,298.69,0.12866839377104017,0.016555555555619446,309.24,0.05477225575201515,0.003000000000164157,309.2,0.06666666666767808,0.004444444444579299,1406.8,133.2992873199253,17768.7,1511.5,233.71076616669222,54620.722222222284,44.379999999999995,7.949654080524497,63.19699999999978,41.53,10.82035633013586,117.08011111111117,50.8,5.718391382198319,32.7,43.6,9.15544768005489,83.82222222222245,298.6,298.9,298.6,298.9,309.2,309.3,309.1,309.3,1306.0,1632.0,1306.0,2035.0,32.5,54.5,19.6,54.5,44.0,58.0,29.0,58.0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,298.82000000000005,0.08366600265380587,0.007000000000066651,298.71,0.12866839377105413,0.016555555555623044,309.26000000000005,0.05477225575209558,0.0030000000001729676,309.22,0.06324555320447693,0.004000000000140323,1434.6,122.37156532462924,14974.800000000003,1514.2,232.72864504014603,54162.622222222286,44.019999999999996,7.864286363046541,61.84699999999979,41.58,10.835722813402386,117.41288888888893,54.6,6.348228099241552,40.300000000000004,47.0,9.439868172337546,89.11111111111138,298.7,298.9,298.6,298.9,309.2,309.3,309.1,309.3,1306.0,1632.0,1306.0,2035.0,32.5,54.5,19.6,54.5,47.0,63.0,34.0,63.0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,298.86,0.05477225575117979,0.0030000000000726477,298.74,0.13498971154238304,0.01822222222229578,309.28000000000003,0.04472135955203418,0.0020000000001823186,309.23999999999995,0.051639777950837615,0.002666666666811815,1468.8,136.81995468498008,18719.700000000004,1538.4,224.93811494621278,50597.155555555626,41.04,9.719979423846528,94.47799999999988,39.540000000000006,10.764365079072505,115.87155555555562,58.2,6.058052492344383,36.699999999999996,50.1,9.780365819106967,95.65555555555588,298.8,298.9,298.6,298.9,309.2,309.3,309.2,309.3,1306.0,1632.0,1306.0,2035.0,30.7,54.5,19.6,54.5,50.0,65.0,37.0,65.0
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,298.9,0.07071067811923416,0.0050000000000819415,298.78000000000003,0.14757295747481386,0.021777777777863223,309.32,0.044721359552259796,0.002000000000202498,309.26,0.06992058987906662,0.0048888888890366335,1559.2,150.95595384084726,22787.700000000004,1540.0,226.59802882343604,51346.666666666744,35.28,8.157327993896045,66.54200000000009,39.11,11.262173660335542,126.83655555555563,61.8,5.263078946776306,27.699999999999996,53.2,10.07527225990005,101.51111111111148,298.8,299.0,298.6,299.0,309.3,309.4,309.2,309.4,1375.0,1758.0,1306.0,2035.0,25.7,44.8,19.6,54.5,55.0,68.0,40.0,68.0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,298.91999999999996,0.08366600265391287,0.007000000000084557,298.82,0.14757295747485838,0.02177777777787636,309.34000000000003,0.05477225575246984,0.003000000000213966,309.28000000000003,0.07888106377561309,0.0062222222223723405,1545.0,145.64168359367454,21211.500000000007,1492.6,147.2218280917158,21674.26666666672,36.239999999999995,8.029819425117855,64.47800000000004,40.88,9.023647944275213,81.4262222222223,64.8,4.658325879540847,21.700000000000006,56.2,10.174041041351833,103.5111111111115,298.8,299.0,298.6,299.0,309.3,309.4,309.2,309.4,1375.0,1758.0,1306.0,1758.0,25.7,44.8,25.7,54.5,58.0,70.0,42.0,70.0
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,298.93999999999994,0.08944271910047556,0.008000000000086575,298.86,0.13498971154251693,0.01822222222233193,309.38,0.0836660026548347,0.0070000000002388065,309.31,0.09944289260196312,0.009888888889045572,1642.2,164.74434739923552,27140.700000000004,1524.5,188.02201407754845,35352.27777777783,32.36,8.779977220927181,77.08800000000018,38.37,10.123355833582728,102.48233333333347,67.8,3.962322551231792,15.700000000000017,59.3,10.08904796741939,101.78888888888932,298.8,299.0,298.6,299.0,309.3,309.5,309.2,309.5,1450.0,1861.0,1306.0,1861.0,23.3,44.8,23.3,54.5,63.0,73.0,44.0,73.0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,299.0,0.07071067811935174,0.005000000000098569,298.90999999999997,0.11972189997429525,0.014333333333455156,309.41999999999996,0.08366600265498586,0.007000000000264101,309.34000000000003,0.10749676997808093,0.011555555555720442,1654.6,148.15971112282853,21951.299999999996,1544.6,172.78901714068664,29856.0444444445,31.2,6.909413868049897,47.74000000000024,37.61,9.713844644515266,94.35877777777793,70.2,3.962322551231792,15.700000000000017,62.4,9.617114374327121,92.48888888888933,298.9,299.1,298.7,299.1,309.3,309.5,309.2,309.5,1512.0,1861.0,1306.0,1861.0,23.3,39.0,23.3,54.5,65.0,75.0,47.0,75.0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,299.04,0.05477225575146325,0.0030000000001036992,298.95,0.10801234497406621,0.011666666666796686,309.43999999999994,0.05477225575306269,0.003000000000278909,309.36,0.09660917830881412,0.00933333333350424,1700.6,155.13639160429122,24067.3,1584.7,184.23297448852352,33941.78888888896,29.98,7.530405035587413,56.70700000000027,35.51,10.058434824122056,101.1721111111113,72.6,3.6469165057620967,13.30000000000002,65.4,8.934328302800532,79.82222222222263,299.0,299.1,298.8,299.1,309.4,309.5,309.2,309.5,1512.0,1861.0,1306.0,1861.0,23.3,39.0,23.3,54.5,68.0,77.0,50.0,77.0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,299.06000000000006,0.0547722557514866,0.003000000000106257,298.98,0.10327955589952402,0.010666666666802906,309.44,0.05477225575306269,0.003000000000278909,309.38,0.07888106377578252,0.006222222222399069,1636.8,187.78764602603653,35264.2,1598.0,165.75148734040255,27473.555555555628,33.68,9.250243240045105,85.56700000000015,34.480000000000004,8.265295585223274,68.31511111111134,75.4,4.505552130427526,20.30000000000002,68.6,8.52708104283708,72.7111111111115,299.0,299.1,298.8,299.1,309.4,309.5,309.3,309.5,1439.0,1861.0,1375.0,1861.0,23.3,44.2,23.3,44.8,70.0,82.0,55.0,82.0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,299.06000000000006,0.0547722557514866,0.003000000000106257,298.99,0.09944289260186974,0.009888888889027,309.43999999999994,0.05477225575306269,0.003000000000278909,309.39,0.07378647873848046,0.0054444444446242295,1663.2,183.70138812758057,33746.2,1604.1,168.24548863028843,28306.544444444517,32.239999999999995,9.105108456245878,82.9030000000002,34.239999999999995,8.363438952435258,69.94711111111135,78.2,4.658325879540847,21.700000000000003,71.5,8.316649966583121,69.16666666666703,299.0,299.1,298.8,299.1,309.4,309.5,309.3,309.5,1439.0,1861.0,1375.0,1861.0,23.3,44.2,23.3,44.8,73.0,84.0,58.0,84.0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,299.08000000000004,0.04472135955121842,0.0020000000001093553,299.01,0.09944289260189387,0.0098888888890318,309.43999999999994,0.05477225575306269,0.003000000000278909,309.40999999999997,0.07378647873852112,0.00544444444463023,1558.8,191.3562123370966,36617.2,1600.5,173.97972423372937,30268.94444444452,37.220000000000006,9.777627524098062,95.602,34.79,9.127546828754774,83.31211111111134,80.8,4.658325879540847,21.700000000000003,74.3,7.97287066662109,63.56666666666703,299.0,299.1,298.8,299.1,309.4,309.5,309.3,309.5,1339.0,1811.0,1339.0,1861.0,24.6,48.2,23.3,48.2,75.0,86.0,63.0,86.0
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,299.06,0.0547722557514866,0.003000000000106257,299.03000000000003,0.06749485577215918,0.0045555555557045685,309.41999999999996,0.04472135955294774,0.00200000000026403,309.41999999999996,0.063245553204866,0.004000000000189536,1616.0,215.13716554793595,46284.0,1635.3,175.3301964231429,30740.677777777873,34.52,10.95613983116317,120.03700000000015,32.86,8.810751008474455,77.6293333333336,83.6,4.505552130427526,20.30000000000002,76.9,8.116512661098863,65.87777777777814,299.0,299.1,298.9,299.1,309.4,309.5,309.3,309.5,1339.0,1811.0,1339.0,1861.0,24.6,48.2,23.3,48.2,77.0,89.0,65.0,89.0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,299.04,0.05477225575146325,0.0030000000001036992,299.04,0.05163977795089614,0.002666666666817859,309.41999999999996,0.04472135955294774,0.00200000000026403,309.43,0.04830458915596634,0.0023333333335267006,1537.6,196.96903309911434,38796.799999999996,1619.1,187.93583420353303,35319.87777777786,39.260000000000005,10.715549449281632,114.82299999999988,34.62,10.007863574876186,100.15733333333355,86.4,3.6469165057620967,13.300000000000022,79.5,8.045012257431468,64.72222222222257,299.0,299.1,299.0,299.1,309.4,309.5,309.4,309.5,1339.0,1798.0,1339.0,1861.0,25.5,48.3,23.3,48.3,82.0,91.0,68.0,91.0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,299.0,0.07071067811938038,0.005000000000102619,299.03000000000003,0.0674948557721482,0.004555555555703087,309.4,0.07071067812040727,0.0050000000002478435,309.41999999999996,0.063245553204866,0.004000000000189536,1582.8,194.60267212964987,37870.200000000004,1609.8,182.52171864678968,33314.177777777855,36.92,10.644341219634025,113.30199999999996,35.3,9.555219632338256,91.30222222222243,88.6,3.6469165057620967,13.300000000000022,82.0,7.958224257542237,63.333333333333684,298.9,299.1,298.9,299.1,309.3,309.5,309.3,309.5,1339.0,1798.0,1339.0,1861.0,25.5,48.3,23.3,48.3,84.0,93.0,70.0,93.0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,298.96,0.11401754251035484,0.013000000000100573,299.01000000000005,0.09944289260187436,0.00988888888902792,309.34000000000003,0.15165750888168958,0.023000000000199756,309.39,0.11972189997453168,0.01433333333351177,1556.0,184.60227517557848,34078.0,1609.6,182.58221892250828,33336.26666666674,37.839999999999996,10.091977011468067,101.84799999999993,35.04,9.530092689300922,90.82266666666688,90.8,3.492849839314601,12.200000000000035,84.5,7.691987172809575,59.166666666667034,298.8,299.1,298.8,299.1,309.1,309.5,309.1,309.5,1339.0,1798.0,1339.0,1861.0,25.5,48.3,23.3,48.3,86.0,95.0,73.0,95.0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,298.9,0.10000000000046905,0.010000000000093809,298.99,0.11972189997432628,0.014333333333462588,309.28000000000003,0.13038404810464288,0.017000000000153826,309.36,0.12649110640740485,0.016000000000169413,1578.6,156.11310002687154,24371.299999999996,1568.7,164.9693911002888,27214.900000000038,37.92,10.195685361955809,103.95199999999994,37.57000000000001,9.424795901120508,88.8267777777779,93.2,3.492849839314601,12.200000000000035,87.0,7.601169500660944,57.777777777778155,298.8,299.0,298.8,299.1,309.1,309.4,309.1,309.5,1419.0,1798.0,1339.0,1811.0,25.5,48.6,24.6,48.6,89.0,98.0,75.0,98.0
