Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,timestamp,Ambient_Temperature,Load_Density,Humidity,Shift,Day_Type,temp_diff,load_ratio,humidity_impact,Machine failure
2,298.6,309.2,1311,46.6,44,0,0,0,0,0,2025-01-01 00:16:00,31,95,63,1,0,10.599999999999966,0.95,59.85,0
2,298.7,309.2,1410,45.6,47,0,0,0,0,0,2025-01-01 00:17:00,25,90,71,2,0,10.5,0.9,63.9,0
0,298.8,309.2,1306,54.5,50,0,0,0,0,0,2025-01-01 00:18:00,21,80,73,2,0,10.399999999999975,0.8,58.400000000000006,0
2,298.9,309.3,1632,32.5,55,0,0,0,0,0,2025-01-01 00:19:00,40,79,41,2,1,10.400000000000034,0.79,32.39,0
0,298.9,309.3,1375,42.7,58,0,0,0,0,0,2025-01-01 00:20:00,20,48,41,1,0,10.400000000000034,0.48,19.68,0
1,298.8,309.3,1450,44.8,63,0,0,0,0,0,2025-01-01 00:21:00,31,30,49,1,1,10.5,0.3,14.7,0
2,298.9,309.3,1581,30.7,65,0,0,0,0,0,2025-01-01 00:22:00,31,69,62,1,0,10.400000000000034,0.69,42.78,0
1,299.0,309.4,1758,25.7,68,0,0,0,0,0,2025-01-01 00:23:00,36,61,54,0,1,10.399999999999975,0.61,32.94,0
2,299.0,309.4,1561,37.3,70,0,0,0,0,0,2025-01-01 00:24:00,29,51,51,1,1,10.399999999999975,0.51,26.01,0
1,299.0,309.5,1861,23.3,73,0,0,0,0,0,2025-01-01 00:25:00,35,95,82,0,0,10.5,0.95,77.89999999999999,0
1,299.1,309.5,1512,39.0,75,0,0,0,0,0,2025-01-01 00:26:00,34,69,56,0,1,10.399999999999975,0.69,38.64,0
0,299.1,309.4,1811,24.6,77,0,0,0,0,0,2025-01-01 00:27:00,34,67,57,0,0,10.299999999999956,0.67,38.190000000000005,0
1,299.1,309.4,1439,44.2,82,0,0,0,0,0,2025-01-01 00:28:00,38,77,53,0,0,10.299999999999956,0.77,40.81,0
1,299.0,309.4,1693,30.1,84,0,0,0,0,0,2025-01-01 00:29:00,31,84,56,1,1,10.399999999999975,0.84,47.04,0
2,299.1,309.5,1339,48.2,86,0,0,0,0,0,2025-01-01 00:30:00,39,84,54,1,0,10.399999999999975,0.84,45.36,0
1,299.0,309.4,1798,25.5,89,0,0,0,0,0,2025-01-01 00:31:00,22,80,51,2,0,10.399999999999975,0.8,40.8,0
1,299.0,309.4,1419,48.3,91,0,0,0,0,0,2025-01-01 00:32:00,24,89,55,2,1,10.399999999999975,0.89,48.95,0
1,298.9,309.3,1665,32.5,93,0,0,0,0,0,2025-01-01 00:33:00,38,37,71,0,0,10.400000000000034,0.37,26.27,0
2,298.8,309.1,1559,34.7,95,0,0,0,0,0,2025-01-01 00:34:00,26,97,62,2,0,10.300000000000011,0.97,60.14,0
2,298.8,309.2,1452,48.6,98,0,0,0,0,0,2025-01-01 00:35:00,40,38,77,2,1,10.399999999999975,0.38,29.26,0
2,298.9,309.2,1581,36.7,101,0,0,0,0,0,2025-01-01 00:36:00,28,31,73,2,1,10.300000000000011,0.31,22.63,0
1,298.8,309.1,1439,39.2,104,0,0,0,0,0,2025-01-01 00:37:00,26,99,73,0,0,10.300000000000011,0.99,72.27,0
0,298.9,309.2,1379,50.7,106,0,0,0,0,0,2025-01-01 00:38:00,37,88,55,2,0,10.300000000000011,0.88,48.4,0
1,298.8,309.1,1350,52.5,111,0,0,0,0,0,2025-01-01 00:39:00,23,48,73,1,1,10.300000000000011,0.48,35.04,0
1,298.8,309.1,1362,45.4,113,0,0,0,0,0,2025-01-01 00:40:00,33,57,79,0,0,10.300000000000011,0.57,45.03,0
1,298.8,309.1,1368,50.8,115,0,0,0,0,0,2025-01-01 00:41:00,37,43,46,1,1,10.300000000000011,0.43,19.78,0
2,298.8,309.1,1368,49.1,117,0,0,0,0,0,2025-01-01 00:42:00,28,53,72,0,0,10.300000000000011,0.53,38.16,0
0,298.8,309.2,1372,48.5,120,0,0,0,0,0,2025-01-01 00:43:00,40,73,43,1,1,10.399999999999975,0.73,31.39,0
2,298.8,309.1,1472,47.5,125,0,0,0,0,0,2025-01-01 00:44:00,21,85,82,2,0,10.300000000000011,0.85,69.7,0
1,298.8,309.1,1489,49.1,128,0,0,0,0,0,2025-01-01 00:45:00,39,80,46,0,0,10.300000000000011,0.8,36.8,0
2,298.7,309.0,1843,25.8,130,0,0,0,0,0,2025-01-01 00:46:00,34,61,57,1,1,10.300000000000011,0.61,34.77,0
1,298.8,309.1,1418,46.3,133,0,0,0,0,0,2025-01-01 00:47:00,26,79,43,0,0,10.300000000000011,0.79,33.97,0
0,298.8,309.2,1425,53.9,135,0,0,0,0,0,2025-01-01 00:48:00,31,70,88,1,1,10.399999999999975,0.7,61.6,0
2,298.9,309.2,1412,44.1,140,0,0,0,0,0,2025-01-01 00:49:00,27,95,50,2,1,10.300000000000011,0.95,47.5,0
1,298.9,309.1,2861,4.6,143,0,0,1,0,0,2025-01-01 00:50:00,34,54,82,0,1,10.200000000000044,0.54,44.28,1
1,298.9,309.1,1383,54.9,145,0,0,0,0,0,2025-01-01 00:51:00,22,90,59,0,0,10.200000000000044,0.9,53.1,0
0,298.8,309.0,1497,43.8,147,0,0,0,0,0,2025-01-01 00:52:00,33,95,50,1,0,10.199999999999989,0.95,47.5,0
1,298.7,309.0,1565,35.1,152,0,0,0,0,0,2025-01-01 00:53:00,36,71,54,1,1,10.300000000000011,0.71,38.34,0
1,298.7,309.0,1691,30.1,154,0,0,0,0,0,2025-01-01 00:54:00,23,94,85,2,1,10.300000000000011,0.94,79.89999999999999,0
1,298.8,309.1,1512,40.7,156,0,0,0,0,0,2025-01-01 00:55:00,37,65,56,1,1,10.300000000000011,0.65,36.4,0
1,298.8,309.1,1477,42.4,158,0,0,0,0,0,2025-01-01 00:56:00,27,38,73,1,0,10.300000000000011,0.38,27.74,0
1,298.8,309.1,1513,40.3,160,0,0,0,0,0,2025-01-01 00:57:00,23,65,89,1,1,10.300000000000011,0.65,57.85,0
2,298.8,309.0,1661,29.5,162,0,0,0,0,0,2025-01-01 00:58:00,21,67,87,2,1,10.199999999999989,0.67,58.290000000000006,0
1,298.8,309.1,1378,54.4,165,0,0,0,0,0,2025-01-01 00:59:00,25,62,51,2,0,10.300000000000011,0.62,31.62,0
1,298.8,309.1,1393,52.6,167,0,0,0,0,0,2025-01-01 01:00:00,29,71,81,0,1,10.300000000000011,0.71,57.51,0
2,298.8,309.0,1592,38.2,169,0,0,0,0,0,2025-01-01 01:01:00,23,90,67,2,0,10.199999999999989,0.9,60.3,0
1,298.8,309.0,1829,22.9,172,0,0,0,0,0,2025-01-01 01:02:00,37,75,87,1,1,10.199999999999989,0.75,65.25,0
2,298.9,309.0,1812,25.9,174,0,0,0,0,0,2025-01-01 01:03:00,31,90,74,0,1,10.100000000000025,0.9,66.60000000000001,0
1,299.0,309.1,1523,38.6,177,0,0,0,0,0,2025-01-01 01:04:00,21,47,47,2,1,10.100000000000025,0.47,22.09,0
1,299.0,309.1,1394,45.1,179,0,0,0,0,0,2025-01-01 01:05:00,29,99,66,2,0,10.100000000000025,0.99,65.34,0
2,298.9,308.9,1679,28.7,181,0,0,0,0,0,2025-01-01 01:06:00,23,44,61,1,0,10.0,0.44,26.84,0
0,298.8,308.9,1466,44.1,184,0,0,0,0,0,2025-01-01 01:07:00,33,77,63,1,0,10.099999999999966,0.77,48.51,0
1,298.8,308.9,1527,32.4,189,0,0,0,0,0,2025-01-01 01:08:00,35,42,41,2,1,10.099999999999966,0.42,17.22,0
1,298.9,309.0,1410,65.7,191,0,0,1,1,0,2025-01-01 01:09:00,34,72,70,0,1,10.100000000000025,0.72,50.4,1
2,298.9,309.0,1924,22.6,193,0,0,0,0,0,2025-01-01 01:10:00,27,89,61,1,1,10.100000000000025,0.89,54.29,0
1,298.9,309.1,1452,45.5,196,0,0,0,0,0,2025-01-01 01:11:00,33,86,40,2,1,10.200000000000044,0.86,34.4,0
1,298.9,309.1,1369,44.4,198,0,0,0,0,0,2025-01-01 01:12:00,27,100,53,2,0,10.200000000000044,1.0,53.0,0
1,299.0,309.1,1592,35.0,200,0,0,0,0,0,2025-01-01 01:13:00,40,46,64,1,1,10.100000000000025,0.46,29.44,0
1,298.9,309.0,1601,32.3,202,0,0,0,0,0,2025-01-01 01:14:00,35,79,75,0,1,10.100000000000025,0.79,59.25,0
1,298.8,308.9,1379,46.7,204,0,0,0,0,0,2025-01-01 01:15:00,32,61,75,0,0,10.099999999999966,0.61,45.75,0
1,298.8,308.9,1461,47.9,206,0,0,0,0,0,2025-01-01 01:16:00,37,51,80,0,1,10.099999999999966,0.51,40.8,0
1,298.8,308.9,1455,41.3,208,1,0,0,0,0,2025-01-01 01:17:00,34,84,42,1,0,10.099999999999966,0.84,35.28,1
1,298.8,308.9,1398,51.5,0,0,0,0,0,0,2025-01-01 01:18:00,40,86,44,1,1,10.099999999999966,0.86,37.84,0
1,298.8,308.9,1402,37.9,2,0,0,0,0,0,2025-01-01 01:19:00,32,42,40,1,0,10.099999999999966,0.42,16.8,0
0,298.8,308.8,1445,49.9,4,0,0,0,0,0,2025-01-01 01:20:00,28,76,58,0,1,10.0,0.76,44.08,0
1,298.9,308.9,1450,47.5,9,0,0,0,0,0,2025-01-01 01:21:00,34,91,72,0,0,10.0,0.91,65.52,0
1,298.9,308.9,1453,40.8,11,0,0,0,0,0,2025-01-01 01:22:00,32,83,81,1,0,10.0,0.83,67.22999999999999,0
1,299.0,309.0,1469,40.1,13,0,0,0,0,0,2025-01-01 01:23:00,20,58,69,1,1,10.0,0.58,40.02,0
1,298.9,308.9,1422,47.6,15,0,0,0,0,0,2025-01-01 01:24:00,26,51,51,1,1,10.0,0.51,26.01,0
2,299.0,309.0,1804,26.8,17,0,0,0,0,0,2025-01-01 01:25:00,28,94,49,0,0,10.0,0.94,46.06,0
0,299.0,309.0,1436,43.9,20,0,0,0,0,0,2025-01-01 01:26:00,20,58,73,2,0,10.0,0.58,42.34,0
1,299.0,309.0,1544,31.8,25,0,0,0,0,0,2025-01-01 01:27:00,31,77,55,2,1,10.0,0.77,42.35,0
2,299.0,309.0,1419,45.2,27,0,0,0,0,0,2025-01-01 01:28:00,27,34,79,0,0,10.0,0.34,26.860000000000003,0
2,298.9,308.9,1487,39.5,30,0,0,0,0,0,2025-01-01 01:29:00,30,64,85,1,1,10.0,0.64,54.4,0
1,298.9,308.9,1753,25.8,33,0,0,0,0,0,2025-01-01 01:30:00,38,100,68,1,1,10.0,1.0,68.0,0
1,298.9,308.9,1830,24.9,35,0,0,0,0,0,2025-01-01 01:31:00,36,75,54,1,1,10.0,0.75,40.5,0
2,298.9,308.9,1727,27.1,37,0,0,0,0,0,2025-01-01 01:32:00,27,64,87,1,1,10.0,0.64,55.68,0
1,299.1,309.0,1450,43.0,40,0,0,0,0,0,2025-01-01 01:33:00,22,74,50,0,1,9.899999999999975,0.74,37.0,0
1,299.0,308.9,1622,31.9,42,0,0,0,0,0,2025-01-01 01:34:00,22,42,83,2,1,9.899999999999975,0.42,34.86,0
2,299.0,309.0,1351,52.2,44,0,0,0,0,0,2025-01-01 01:35:00,20,39,73,2,0,10.0,0.39,28.47,0
2,299.0,309.0,1575,35.3,47,0,0,0,0,0,2025-01-01 01:36:00,24,95,75,0,1,10.0,0.95,71.25,0
2,298.9,308.9,1750,29.9,50,0,0,0,0,0,2025-01-01 01:37:00,29,99,69,1,0,10.0,0.99,68.31,0
1,298.9,308.8,1529,32.7,53,0,0,0,0,0,2025-01-01 01:38:00,26,54,74,2,1,9.900000000000034,0.54,39.96,0
1,298.8,308.8,1523,44.4,55,0,0,0,0,0,2025-01-01 01:39:00,28,73,48,0,1,10.0,0.73,35.04,0
1,298.8,308.9,1852,25.0,57,0,0,0,0,0,2025-01-01 01:40:00,26,89,57,1,1,10.099999999999966,0.89,50.73,0
1,298.8,308.8,1991,20.7,59,0,0,0,0,0,2025-01-01 01:41:00,28,76,58,2,0,10.0,0.76,44.08,0
1,298.8,308.8,1555,40.6,61,0,0,0,0,0,2025-01-01 01:42:00,27,69,78,0,1,10.0,0.69,53.81999999999999,0
2,298.8,308.8,1441,40.5,63,0,0,0,0,0,2025-01-01 01:43:00,31,36,43,2,1,10.0,0.36,15.48,0
1,298.8,308.7,1450,43.4,66,0,0,0,0,0,2025-01-01 01:44:00,21,75,45,2,1,9.899999999999975,0.75,33.75,0
1,298.8,308.7,1591,31.1,68,0,0,0,0,0,2025-01-01 01:45:00,20,52,90,0,1,9.899999999999975,0.52,46.8,0
1,298.8,308.7,1445,48.5,70,0,0,0,0,0,2025-01-01 01:46:00,35,75,72,0,0,9.899999999999975,0.75,54.0,0
2,298.8,308.8,1497,46.8,72,0,0,0,0,0,2025-01-01 01:47:00,24,42,71,2,0,10.0,0.42,29.82,0
0,298.9,308.8,1621,32.7,75,0,0,0,0,0,2025-01-01 01:48:00,22,50,55,2,1,9.900000000000034,0.5,27.5,0
1,298.9,308.7,1572,34.1,80,0,0,0,0,0,2025-01-01 01:49:00,31,30,50,0,1,9.800000000000011,0.3,15.0,0
1,298.8,308.6,1872,22.5,82,0,0,0,0,0,2025-01-01 01:50:00,27,48,61,1,0,9.800000000000011,0.48,29.28,0
0,298.7,308.6,1499,43.5,84,0,0,0,0,0,2025-01-01 01:51:00,22,89,75,1,1,9.900000000000034,0.89,66.75,0
2,298.8,308.7,1498,39.5,89,0,0,0,0,0,2025-01-01 01:52:00,20,62,89,1,0,9.899999999999975,0.62,55.18,0
2,298.8,308.6,1486,41.9,92,0,0,0,0,0,2025-01-01 01:53:00,22,33,62,1,0,9.800000000000011,0.33,20.46,0
1,298.8,308.6,1680,29.4,95,0,0,0,0,0,2025-01-01 01:54:00,24,32,65,0,0,9.800000000000011,0.32,20.8,0
1,298.8,308.6,1431,45.7,97,0,0,0,0,0,2025-01-01 01:55:00,34,81,70,1,0,9.800000000000011,0.81,56.7,0
1,298.9,308.7,1564,34.1,99,0,0,0,0,0,2025-01-01 01:56:00,33,57,68,2,0,9.800000000000011,0.57,38.76,0
1,298.8,308.6,1599,33.0,101,0,0,0,0,0,2025-01-01 01:57:00,22,99,44,1,0,9.800000000000011,0.99,43.56,0
2,298.8,308.6,1707,28.1,103,0,0,0,0,0,2025-01-01 01:58:00,20,99,77,0,0,9.800000000000011,0.99,76.23,0
1,298.7,308.5,1467,40.7,106,0,0,0,0,0,2025-01-01 01:59:00,24,84,64,1,1,9.800000000000011,0.84,53.76,0
1,298.9,308.7,1433,44.7,108,0,0,0,0,0,2025-01-01 02:00:00,33,86,73,1,0,9.800000000000011,0.86,62.78,0
1,298.9,308.7,1558,41.2,110,0,0,0,0,0,2025-01-01 02:01:00,26,45,51,0,1,9.800000000000011,0.45,22.95,0
1,299.0,308.8,1310,50.7,112,0,0,0,0,0,2025-01-01 02:02:00,28,53,61,1,1,9.800000000000011,0.53,32.33,0
1,298.9,308.7,1546,43.4,114,0,0,0,0,0,2025-01-01 02:03:00,34,98,48,0,1,9.800000000000011,0.98,47.04,0
1,298.9,308.7,1727,29.4,116,0,0,0,0,0,2025-01-01 02:04:00,34,70,59,1,0,9.800000000000011,0.7,41.3,0
1,298.9,308.6,1560,32.2,118,0,0,0,0,0,2025-01-01 02:05:00,29,76,68,0,0,9.700000000000044,0.76,51.68,0
1,299.0,308.6,1329,60.5,120,0,0,0,0,0,2025-01-01 02:06:00,32,98,83,1,0,9.600000000000025,0.98,81.34,0
1,298.9,308.6,1413,46.5,122,0,0,0,0,0,2025-01-01 02:07:00,38,60,68,2,1,9.700000000000044,0.6,40.8,0
1,299.0,308.6,1587,38.6,124,0,0,0,0,0,2025-01-01 02:08:00,26,59,84,2,1,9.600000000000025,0.59,49.56,0
1,298.9,308.5,1559,34.3,126,0,0,0,0,0,2025-01-01 02:09:00,36,47,66,0,1,9.600000000000025,0.47,31.02,0
1,298.8,308.4,1473,41.1,128,0,0,0,0,0,2025-01-01 02:10:00,39,73,56,0,1,9.599999999999966,0.73,40.88,0
1,298.8,308.4,1737,27.7,130,0,0,0,0,0,2025-01-01 02:11:00,23,56,44,0,0,9.599999999999966,0.56,24.64,0
2,298.7,308.4,1441,43.2,132,0,0,0,0,0,2025-01-01 02:12:00,24,55,84,2,1,9.699999999999989,0.55,46.2,0
2,298.7,308.4,1430,49.6,135,0,0,0,0,0,2025-01-01 02:13:00,26,89,52,0,0,9.699999999999989,0.89,46.28,0
1,298.8,308.4,1369,53.0,138,0,0,0,0,0,2025-01-01 02:14:00,32,47,81,1,1,9.599999999999966,0.47,38.07,0
2,298.8,308.5,1711,28.5,140,0,0,0,0,0,2025-01-01 02:15:00,34,85,54,0,0,9.699999999999989,0.85,45.9,0
0,298.7,308.5,1420,45.7,143,0,0,0,0,0,2025-01-01 02:16:00,30,60,54,0,1,9.800000000000011,0.6,32.4,0
1,298.7,308.6,1297,55.3,148,0,0,0,0,0,2025-01-01 02:17:00,23,88,57,1,0,9.900000000000034,0.88,50.16,0
0,298.8,308.6,1449,49.4,150,0,0,0,0,0,2025-01-01 02:18:00,32,31,89,1,1,9.800000000000011,0.31,27.59,0
1,298.8,308.6,1268,55.8,155,0,0,0,0,0,2025-01-01 02:19:00,26,68,41,2,0,9.800000000000011,0.68,27.880000000000003,0
1,298.8,308.6,1511,36.1,157,0,0,0,0,0,2025-01-01 02:20:00,38,90,62,1,0,9.800000000000011,0.9,55.8,0
1,298.7,308.5,1544,35.2,159,0,0,0,0,0,2025-01-01 02:21:00,21,92,82,1,0,9.800000000000011,0.92,75.44,0
2,298.6,308.4,1778,28.2,161,0,0,0,0,0,2025-01-01 02:22:00,29,47,52,0,1,9.799999999999956,0.47,24.44,0
0,298.6,308.4,1407,50.5,164,0,0,0,0,0,2025-01-01 02:23:00,32,46,82,2,0,9.799999999999956,0.46,37.72,0
2,298.6,308.4,1391,42.4,169,0,0,0,0,0,2025-01-01 02:24:00,40,68,43,1,0,9.799999999999956,0.68,29.24,0
1,298.5,308.4,1513,33.6,172,0,0,0,0,0,2025-01-01 02:25:00,25,100,86,2,0,9.899999999999975,1.0,86.0,0
0,298.5,308.4,1612,36.1,174,0,0,0,0,0,2025-01-01 02:26:00,31,83,64,1,0,9.899999999999975,0.83,53.12,0
1,298.4,308.4,1515,40.1,179,0,0,0,0,0,2025-01-01 02:27:00,31,64,50,2,0,10.0,0.64,32.0,0
2,298.3,308.3,1379,48.0,181,0,0,0,0,0,2025-01-01 02:28:00,39,40,89,1,1,10.0,0.4,35.6,0
1,298.4,308.3,1473,39.9,184,0,0,0,0,0,2025-01-01 02:29:00,30,90,87,0,0,9.900000000000034,0.9,78.3,0
1,298.4,308.3,1422,42.7,186,0,0,0,0,0,2025-01-01 02:30:00,26,73,81,2,1,9.900000000000034,0.73,59.13,0
2,298.4,308.2,1463,37.6,188,0,0,0,0,0,2025-01-01 02:31:00,20,97,51,2,0,9.800000000000011,0.97,49.47,0
2,298.4,308.2,1584,41.0,191,0,0,0,0,0,2025-01-01 02:32:00,20,54,52,1,1,9.800000000000011,0.54,28.08,0
1,298.4,308.2,1850,27.0,194,0,0,0,0,0,2025-01-01 02:33:00,39,77,48,2,1,9.800000000000011,0.77,36.96,0
1,298.4,308.2,1528,36.2,196,0,0,0,0,0,2025-01-01 02:34:00,32,61,84,1,1,9.800000000000011,0.61,51.24,0
0,298.4,308.2,1987,19.8,198,0,0,0,0,0,2025-01-01 02:35:00,28,33,77,2,1,9.800000000000011,0.33,25.41,0
2,298.4,308.1,1495,46.0,203,0,0,0,0,0,2025-01-01 02:36:00,22,67,45,2,1,9.700000000000044,0.67,30.15,0
0,298.4,308.2,1478,43.5,206,0,0,0,0,0,2025-01-01 02:37:00,26,92,82,0,1,9.800000000000011,0.92,75.44,0
2,298.4,308.2,1499,40.0,211,0,0,0,0,0,2025-01-01 02:38:00,25,76,90,0,0,9.800000000000011,0.76,68.4,0
1,298.4,308.2,1471,47.0,214,0,0,0,0,0,2025-01-01 02:39:00,27,30,82,2,0,9.800000000000011,0.3,24.6,0
1,298.4,308.2,1282,60.7,216,0,0,0,1,0,2025-01-01 02:40:00,28,32,49,0,0,9.800000000000011,0.32,15.68,1
1,298.3,308.1,1412,52.3,218,0,0,0,1,0,2025-01-01 02:41:00,24,91,62,2,0,9.800000000000011,0.91,56.42,1
1,298.3,308.1,1586,35.5,0,0,0,0,0,0,2025-01-01 02:42:00,20,93,54,1,1,9.800000000000011,0.93,50.220000000000006,0
2,298.4,308.2,1468,43.8,2,0,0,0,0,0,2025-01-01 02:43:00,38,46,84,2,1,9.800000000000011,0.46,38.64,0
2,298.5,308.3,1440,43.6,5,0,0,0,0,0,2025-01-01 02:44:00,29,91,62,2,1,9.800000000000011,0.91,56.42,0
1,298.5,308.4,1733,26.0,8,0,0,0,0,0,2025-01-01 02:45:00,31,64,79,0,0,9.899999999999975,0.64,50.56,0
0,298.4,308.2,1612,32.6,10,0,0,0,0,0,2025-01-01 02:46:00,34,42,76,0,0,9.800000000000011,0.42,31.92,0
0,298.4,308.3,1458,42.9,15,0,0,0,0,0,2025-01-01 02:47:00,28,64,73,1,1,9.900000000000034,0.64,46.72,0
1,298.4,308.3,1433,62.3,20,0,0,1,0,0,2025-01-01 02:48:00,39,72,55,1,0,9.900000000000034,0.72,39.6,1
1,298.4,308.3,1318,59.1,22,0,0,0,0,0,2025-01-01 02:49:00,36,31,84,1,1,9.900000000000034,0.31,26.04,0
2,298.4,308.2,1610,35.0,24,0,0,0,0,0,2025-01-01 02:50:00,36,85,90,2,1,9.800000000000011,0.85,76.5,0
1,298.2,308.1,1462,50.8,27,0,0,0,0,0,2025-01-01 02:51:00,39,80,80,1,0,9.900000000000034,0.8,64.0,0
2,298.1,308.0,1924,20.8,29,0,0,0,0,0,2025-01-01 02:52:00,31,83,86,1,1,9.899999999999975,0.83,71.38,0
2,298.2,308.0,1591,33.7,32,0,0,0,0,0,2025-01-01 02:53:00,26,45,71,0,0,9.800000000000011,0.45,31.95,0
1,298.2,308.1,1306,58.3,35,0,0,0,0,0,2025-01-01 02:54:00,21,47,77,0,0,9.900000000000034,0.47,36.19,0
1,298.2,308.1,1382,43.5,37,0,0,0,0,0,2025-01-01 02:55:00,22,36,79,1,0,9.900000000000034,0.36,28.44,0
1,298.2,308.1,1618,34.7,39,0,0,0,0,0,2025-01-01 02:56:00,36,74,85,1,0,9.900000000000034,0.74,62.9,0
1,298.2,308.2,1988,21.4,41,0,0,0,0,0,2025-01-01 02:57:00,24,65,44,2,1,10.0,0.65,28.6,0
1,298.2,308.2,1436,50.2,43,0,0,0,0,0,2025-01-01 02:58:00,36,70,56,2,1,10.0,0.7,39.2,0
1,298.2,308.3,1304,49.8,45,0,0,0,0,0,2025-01-01 02:59:00,36,71,61,0,1,10.100000000000025,0.71,43.31,0
1,298.2,308.3,1475,49.9,47,0,0,0,0,0,2025-01-01 03:00:00,36,36,78,1,1,10.100000000000025,0.36,28.08,0
0,298.2,308.3,1824,24.2,49,0,0,0,0,0,2025-01-01 03:01:00,21,44,80,1,0,10.100000000000025,0.44,35.2,0
2,298.1,308.2,1342,48.1,54,0,0,0,0,0,2025-01-01 03:02:00,21,89,87,1,0,10.099999999999966,0.89,77.43,0
1,298.1,308.2,1485,40.7,57,0,0,0,0,0,2025-01-01 03:03:00,24,69,57,1,1,10.099999999999966,0.69,39.33,0
1,298.2,308.2,1667,30.6,59,0,0,0,0,0,2025-01-01 03:04:00,20,66,67,1,0,10.0,0.66,44.22,0
1,298.2,308.2,1446,38.2,61,0,0,0,0,0,2025-01-01 03:05:00,20,95,52,2,0,10.0,0.95,49.4,0
1,298.1,308.3,1301,56.0,63,0,0,0,0,0,2025-01-01 03:06:00,38,84,89,2,1,10.199999999999989,0.84,74.75999999999999,0
1,298.2,308.4,1379,43.1,65,0,0,0,0,0,2025-01-01 03:07:00,21,85,81,1,1,10.199999999999989,0.85,68.85,0
1,298.3,308.5,1606,33.6,67,0,0,0,0,0,2025-01-01 03:08:00,40,73,40,2,0,10.199999999999989,0.73,29.2,0
2,298.3,308.4,1539,43.4,69,0,0,0,0,0,2025-01-01 03:09:00,31,86,89,2,1,10.099999999999966,0.86,76.53999999999999,0
1,298.2,308.4,1477,49.9,72,0,0,0,0,0,2025-01-01 03:10:00,25,35,58,1,0,10.199999999999989,0.35,20.3,0
1,298.2,308.4,1666,34.6,74,0,0,0,0,0,2025-01-01 03:11:00,23,61,73,2,0,10.199999999999989,0.61,44.53,0
0,298.2,308.4,1398,51.8,76,0,0,0,0,0,2025-01-01 03:12:00,30,47,43,1,1,10.199999999999989,0.47,20.21,0
0,298.2,308.4,1678,34.6,81,0,0,0,0,0,2025-01-01 03:13:00,36,97,82,2,1,10.199999999999989,0.97,79.53999999999999,0
2,298.2,308.5,2678,10.7,86,0,0,1,0,0,2025-01-01 03:14:00,25,36,42,1,1,10.300000000000011,0.36,15.12,1
1,298.3,308.5,1453,42.9,89,0,0,0,0,0,2025-01-01 03:15:00,24,37,80,1,0,10.199999999999989,0.37,29.6,0
0,298.3,308.6,1432,49.5,91,0,0,0,0,0,2025-01-01 03:16:00,39,93,49,2,1,10.300000000000011,0.93,45.57,0
