UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,Timestamp,Ambient_Temperature,Load_Density,Humidity,Shift,Day_Type
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,2025-01-01 00:53:00,2025-01-01 00:53:00,36,71,54,Morning,Weekend
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,2025-01-01 00:54:00,2025-01-01 00:54:00,23,94,85,Night,Weekend
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,2025-01-01 00:55:00,2025-01-01 00:55:00,37,65,56,Morning,Weekend
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,2025-01-01 00:56:00,2025-01-01 00:56:00,27,38,73,Morning,Weekday
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,2025-01-01 00:57:00,2025-01-01 00:57:00,23,65,89,Morning,Weekend
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,2025-01-01 00:58:00,2025-01-01 00:58:00,21,67,87,Night,Weekend
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,2025-01-01 00:59:00,2025-01-01 00:59:00,25,62,51,Night,Weekday
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,2025-01-01 01:00:00,2025-01-01 01:00:00,29,71,81,Evening,Weekend
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,2025-01-01 01:01:00,2025-01-01 01:01:00,23,90,67,Night,Weekday
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,2025-01-01 01:02:00,2025-01-01 01:02:00,37,75,87,Morning,Weekend
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,2025-01-01 01:03:00,2025-01-01 01:03:00,31,90,74,Evening,Weekend
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,2025-01-01 01:04:00,2025-01-01 01:04:00,21,47,47,Night,Weekend
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,2025-01-01 01:05:00,2025-01-01 01:05:00,29,99,66,Night,Weekday
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,2025-01-01 01:06:00,2025-01-01 01:06:00,23,44,61,Morning,Weekday
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,2025-01-01 01:07:00,2025-01-01 01:07:00,33,77,63,Morning,Weekday
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,2025-01-01 01:08:00,2025-01-01 01:08:00,35,42,41,Night,Weekend
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,2025-01-01 01:09:00,2025-01-01 01:09:00,34,72,70,Evening,Weekend
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,2025-01-01 01:10:00,2025-01-01 01:10:00,27,89,61,Morning,Weekend
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,2025-01-01 01:11:00,2025-01-01 01:11:00,33,86,40,Night,Weekend
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,2025-01-01 01:12:00,2025-01-01 01:12:00,27,100,53,Night,Weekday
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,2025-01-01 01:13:00,2025-01-01 01:13:00,40,46,64,Morning,Weekend
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,2025-01-01 01:14:00,2025-01-01 01:14:00,35,79,75,Evening,Weekend
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,2025-01-01 01:15:00,2025-01-01 01:15:00,32,61,75,Evening,Weekday
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,2025-01-01 01:16:00,2025-01-01 01:16:00,37,51,80,Evening,Weekend
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,2025-01-01 01:17:00,2025-01-01 01:17:00,34,84,42,Morning,Weekday
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,2025-01-01 01:18:00,2025-01-01 01:18:00,40,86,44,Morning,Weekend
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,2025-01-01 01:19:00,2025-01-01 01:19:00,32,42,40,Morning,Weekday
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,2025-01-01 01:20:00,2025-01-01 01:20:00,28,76,58,Evening,Weekend
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,2025-01-01 01:21:00,2025-01-01 01:21:00,34,91,72,Evening,Weekday
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,2025-01-01 01:22:00,2025-01-01 01:22:00,32,83,81,Morning,Weekday
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,2025-01-01 01:23:00,2025-01-01 01:23:00,20,58,69,Morning,Weekend
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,2025-01-01 01:24:00,2025-01-01 01:24:00,26,51,51,Morning,Weekend
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,2025-01-01 01:25:00,2025-01-01 01:25:00,28,94,49,Evening,Weekday
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,2025-01-01 01:26:00,2025-01-01 01:26:00,20,58,73,Night,Weekday
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,2025-01-01 01:27:00,2025-01-01 01:27:00,31,77,55,Night,Weekend
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,2025-01-01 01:28:00,2025-01-01 01:28:00,27,34,79,Evening,Weekday
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,2025-01-01 01:29:00,2025-01-01 01:29:00,30,64,85,Morning,Weekend
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,2025-01-01 01:30:00,2025-01-01 01:30:00,38,100,68,Morning,Weekend
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,2025-01-01 01:31:00,2025-01-01 01:31:00,36,75,54,Morning,Weekend
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,2025-01-01 01:32:00,2025-01-01 01:32:00,27,64,87,Morning,Weekend
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,2025-01-01 01:33:00,2025-01-01 01:33:00,22,74,50,Evening,Weekend
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,2025-01-01 01:34:00,2025-01-01 01:34:00,22,42,83,Night,Weekend
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,2025-01-01 01:35:00,2025-01-01 01:35:00,20,39,73,Night,Weekday
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,2025-01-01 01:36:00,2025-01-01 01:36:00,24,95,75,Evening,Weekend
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,2025-01-01 01:37:00,2025-01-01 01:37:00,29,99,69,Morning,Weekday
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,2025-01-01 01:38:00,2025-01-01 01:38:00,26,54,74,Night,Weekend
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,2025-01-01 01:39:00,2025-01-01 01:39:00,28,73,48,Evening,Weekend
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,2025-01-01 01:40:00,2025-01-01 01:40:00,26,89,57,Morning,Weekend
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,2025-01-01 01:41:00,2025-01-01 01:41:00,28,76,58,Night,Weekday
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,2025-01-01 01:42:00,2025-01-01 01:42:00,27,69,78,Evening,Weekend
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,2025-01-01 01:43:00,2025-01-01 01:43:00,31,36,43,Night,Weekend
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,2025-01-01 01:44:00,2025-01-01 01:44:00,21,75,45,Night,Weekend
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,2025-01-01 01:45:00,2025-01-01 01:45:00,20,52,90,Evening,Weekend
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,2025-01-01 01:46:00,2025-01-01 01:46:00,35,75,72,Evening,Weekday
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,2025-01-01 01:47:00,2025-01-01 01:47:00,24,42,71,Night,Weekday
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,2025-01-01 01:48:00,2025-01-01 01:48:00,22,50,55,Night,Weekend
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,2025-01-01 01:49:00,2025-01-01 01:49:00,31,30,50,Evening,Weekend
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,2025-01-01 01:50:00,2025-01-01 01:50:00,27,48,61,Morning,Weekday
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,2025-01-01 01:51:00,2025-01-01 01:51:00,22,89,75,Morning,Weekend
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,2025-01-01 01:52:00,2025-01-01 01:52:00,20,62,89,Morning,Weekday
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,2025-01-01 01:53:00,2025-01-01 01:53:00,22,33,62,Morning,Weekday
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,2025-01-01 01:54:00,2025-01-01 01:54:00,24,32,65,Evening,Weekday
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,2025-01-01 01:55:00,2025-01-01 01:55:00,34,81,70,Morning,Weekday
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,2025-01-01 01:56:00,2025-01-01 01:56:00,33,57,68,Night,Weekday
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,2025-01-01 01:57:00,2025-01-01 01:57:00,22,99,44,Morning,Weekday
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,2025-01-01 01:58:00,2025-01-01 01:58:00,20,99,77,Evening,Weekday
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,2025-01-01 01:59:00,2025-01-01 01:59:00,24,84,64,Morning,Weekend
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,2025-01-01 02:00:00,2025-01-01 02:00:00,33,86,73,Morning,Weekday
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,2025-01-01 02:01:00,2025-01-01 02:01:00,26,45,51,Evening,Weekend
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,2025-01-01 02:02:00,2025-01-01 02:02:00,28,53,61,Morning,Weekend
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,2025-01-01 02:03:00,2025-01-01 02:03:00,34,98,48,Evening,Weekend
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,2025-01-01 02:04:00,2025-01-01 02:04:00,34,70,59,Morning,Weekday
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,2025-01-01 02:05:00,2025-01-01 02:05:00,29,76,68,Evening,Weekday
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,2025-01-01 02:06:00,2025-01-01 02:06:00,32,98,83,Morning,Weekday
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,2025-01-01 02:07:00,2025-01-01 02:07:00,38,60,68,Night,Weekend
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,2025-01-01 02:08:00,2025-01-01 02:08:00,26,59,84,Night,Weekend
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,2025-01-01 02:09:00,2025-01-01 02:09:00,36,47,66,Evening,Weekend
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,2025-01-01 02:10:00,2025-01-01 02:10:00,39,73,56,Evening,Weekend
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,2025-01-01 02:11:00,2025-01-01 02:11:00,23,56,44,Evening,Weekday
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,2025-01-01 02:12:00,2025-01-01 02:12:00,24,55,84,Night,Weekend
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,2025-01-01 02:13:00,2025-01-01 02:13:00,26,89,52,Evening,Weekday
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,2025-01-01 02:14:00,2025-01-01 02:14:00,32,47,81,Morning,Weekend
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,2025-01-01 02:15:00,2025-01-01 02:15:00,34,85,54,Evening,Weekday
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,2025-01-01 02:16:00,2025-01-01 02:16:00,30,60,54,Evening,Weekend
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,2025-01-01 02:17:00,2025-01-01 02:17:00,23,88,57,Morning,Weekday
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,2025-01-01 02:18:00,2025-01-01 02:18:00,32,31,89,Morning,Weekend
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,2025-01-01 02:19:00,2025-01-01 02:19:00,26,68,41,Night,Weekday
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,2025-01-01 02:20:00,2025-01-01 02:20:00,38,90,62,Morning,Weekday
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,2025-01-01 02:21:00,2025-01-01 02:21:00,21,92,82,Morning,Weekday
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,2025-01-01 02:22:00,2025-01-01 02:22:00,29,47,52,Evening,Weekend
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,2025-01-01 02:23:00,2025-01-01 02:23:00,32,46,82,Night,Weekday
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,2025-01-01 02:24:00,2025-01-01 02:24:00,40,68,43,Morning,Weekday
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,2025-01-01 02:25:00,2025-01-01 02:25:00,25,100,86,Night,Weekday
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,2025-01-01 02:26:00,2025-01-01 02:26:00,31,83,64,Morning,Weekday
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,2025-01-01 02:27:00,2025-01-01 02:27:00,31,64,50,Night,Weekday
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,2025-01-01 02:28:00,2025-01-01 02:28:00,39,40,89,Morning,Weekend
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,2025-01-01 02:29:00,2025-01-01 02:29:00,30,90,87,Evening,Weekday
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,2025-01-01 02:30:00,2025-01-01 02:30:00,26,73,81,Night,Weekend
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,2025-01-01 02:31:00,2025-01-01 02:31:00,20,97,51,Night,Weekday
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,2025-01-01 02:32:00,2025-01-01 02:32:00,20,54,52,Morning,Weekend
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,2025-01-01 02:33:00,2025-01-01 02:33:00,39,77,48,Night,Weekend
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,2025-01-01 02:34:00,2025-01-01 02:34:00,32,61,84,Morning,Weekend
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,2025-01-01 02:35:00,2025-01-01 02:35:00,28,33,77,Night,Weekend
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,2025-01-01 02:36:00,2025-01-01 02:36:00,22,67,45,Night,Weekend
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,2025-01-01 02:37:00,2025-01-01 02:37:00,26,92,82,Evening,Weekend
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,2025-01-01 02:38:00,2025-01-01 02:38:00,25,76,90,Evening,Weekday
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,2025-01-01 02:39:00,2025-01-01 02:39:00,27,30,82,Night,Weekday
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,2025-01-01 02:40:00,2025-01-01 02:40:00,28,32,49,Evening,Weekday
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,2025-01-01 02:41:00,2025-01-01 02:41:00,24,91,62,Night,Weekday
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,2025-01-01 02:42:00,2025-01-01 02:42:00,20,93,54,Morning,Weekend
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,2025-01-01 02:43:00,2025-01-01 02:43:00,38,46,84,Night,Weekend
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,2025-01-01 02:44:00,2025-01-01 02:44:00,29,91,62,Night,Weekend
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,2025-01-01 02:45:00,2025-01-01 02:45:00,31,64,79,Evening,Weekday
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,2025-01-01 02:46:00,2025-01-01 02:46:00,34,42,76,Evening,Weekday
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,2025-01-01 02:47:00,2025-01-01 02:47:00,28,64,73,Morning,Weekend
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,2025-01-01 02:48:00,2025-01-01 02:48:00,39,72,55,Morning,Weekday
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,2025-01-01 02:49:00,2025-01-01 02:49:00,36,31,84,Morning,Weekend
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,2025-01-01 02:50:00,2025-01-01 02:50:00,36,85,90,Night,Weekend
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,2025-01-01 02:51:00,2025-01-01 02:51:00,39,80,80,Morning,Weekday
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,2025-01-01 02:52:00,2025-01-01 02:52:00,31,83,86,Morning,Weekend
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,2025-01-01 02:53:00,2025-01-01 02:53:00,26,45,71,Evening,Weekday
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,2025-01-01 02:54:00,2025-01-01 02:54:00,21,47,77,Evening,Weekday
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,2025-01-01 02:55:00,2025-01-01 02:55:00,22,36,79,Morning,Weekday
